Rank,Name,,Country,Qualification,Semi-final,Final
1,MICKAEL,MAWEM,FRA,3t4z 16 13,3t4z 7 8,3t4z 8 12
2,MEJDI,SCHALCK,FRA,3t4z 7 10,3t3z 8 6,2t4z 5 10
3,DOHYUN,LEE,KOR,3t3z 12 12,3t3z 10 8,2t3z 5 15
4,SORATO,ANRAKU,JPN,5t5z 11 10,4t4z 11 5,2t2z 3 3
5,NICOLAI,UZNIK,AUT,3t4z 6 10,2t4z 2 7,1t3z 2 5
6,KOKORO,FUJII,JPN,3t5z 5 8,3t4z 10 6,0t2z 0 3
7,YOSHIYUKI,OGATA,JPN,5t5z 11 7,2t4z 3 5,
8,ADAM,ONDRA,CZE,2t5z 2 12,2t4z 5 8,
9,YANNICK,FLOHÉ,GER,5t5z 18 14,2t4z 6 8,
10,SAM,AVEZOU,FRA,3t5z 5 8,2t3z 3 4,
11,PAUL,JENFT,FRA,3t5z 13 14,2t3z 3 5,
12,JAKOB,SCHUBERT,AUT,4t5z 13 10,2t3z 3 13,
13,TOMOA,NARASAKI,JPN,4t5z 4 7,2t3z 4 4,
14,MEICHI,NARASAKI,JPN,3t5z 7 12,2t3z 6 12,
15,MANUEL,CORNU,FRA,3t4z 6 7,2t3z 8 12,
16,JACK,MACDOUGALL,GBR,3t5z 9 12,2t3z 8 14,
17,ALEXANDER,MEGOS,GER,2t5z 11 15,2t3z 9 5,
18,JULIEN,CLÉMENCE,SUI,3t3z 7 5,1t2z 4 5,
19,TOBY,ROBERTS,GBR,2t5z 3 12,0t1z 0 2,
20,MAX,KLEESATTEL,GER,2t5z 11 19,0t1z 0 4,
21,NICOLAS,COLLIN,BEL,2t5z 4 10,,
21,ZAN,LOVENJAK SUDAR,SLO,2t4z 3 10,,
23,JONGWON,CHON,KOR,2t5z 4 12,,
23,SIMON,LORENZI,BEL,2t4z 3 13,,
25,SASCHA,LEHMANN,SUI,2t4z 4 6,,
25,HANNES,VAN DUYSEN,BEL,2t4z 6 8,,
27,HAMISH,MCARTHUR,GBR,2t4z 8 10,,
27,ANZE,PEHARC,SLO,2t4z 7 9,,
27,HANNES,PUMAN,SWE,2t4z 7 9,,
30,ALBERTO,GINÉS LÓPEZ,ESP,2t3z 6 5,,
31,ZACH,GALLA,USA,2t4z 7 10,,
31,CHINGKHEINGANBA,MAIBAM,IND,2t2z 4 3,,
33,SEAN,BAILEY,USA,1t4z 1 15,,
33,YUFEI,PAN,CHN,1t4z 1 15,,
33,YUVAL,SHEMLA,ISR,2t4z 7 14,,
36,PETER,KURIC,SVK,2t4z 7 15,,
37,GABRIELE,MORONI,ITA,1t4z 1 16,,
37,LUKA,POTOCAR,SLO,2t4z 10 18,,
39,GEVA,LEVIN,ISR,2t3z 4 4,,
39,STEFAN,SCHERZ,AUT,1t4z 3 18,,
41,DILLON,COUNTRYMAN,USA,1t4z 5 13,,
41,NIMROD,MARCUS,ISR,2t2z 3 3,,
43,NATHAN,MARTIN,LUX,1t3z 1 6,,
43,MAXIMILLIAN,MILNE,GBR,1t5z 1 10,,
45,MARCELLO,BOMBARDI,ITA,1t3z 1 11,,
45,COLIN,DUFFY,USA,1t5z 5 11,,
47,EDVARDS,GRUZITIS,LAT,1t3z 2 5,,
47,ALEX,KHAZANOV,ISR,1t4z 1 15,,
49,FILIP,SCHENK,ITA,1t4z 2 6,,
49,AO,YURIKUSA,JPN,1t3z 2 8,,
51,JESSE,GRUPPER,USA,1t4z 2 10,,
51,MIKEL ASIER,LINACISORO MOLINA,ESP,1t3z 2 11,,
53,OSCAR,BAUDRAND,CAN,1t4z 5 11,,
53,JAMES,POPE,GBR,1t2z 1 2,,
55,SEAN,MCCOLL,CAN,1t3z 2 6,,
55,GUY,MCNAMEE,CAN,1t2z 1 3,,
57,HECTOR,LOPEZ VALDEZ,MEX,1t2z 1 19,,
57,JAN-LUCA,POSCH,AUT,1t3z 4 6,,
59,FELIPE,HO FOGANHOLO,BRA,1t2z 2 3,,
59,SLAV,KIROV,BUL,1t3z 4 7,,
61,STEFANO,GHISOLFI,ITA,1t2z 2 4,,
61,GERGŐ,VÁLYI,HUN,1t3z 6 12,,
63,KINDAR,MCNAMEE,CAN,1t2z 2 7,,
63,DYLAN,PARKS,AUS,1t3z 6 16,,
63,YUNCHAN,SONG,KOR,1t2z 2 7,,
66,NILS,FAVRE,SUI,1t2z 1 2,,
67,MAXIM,PARE,AUS,1t2z 2 3,,
67,NIMRÓD SEBESTYÉN,TUSNÁDY,HUN,1t2z 3 3,,
69,MEL,JANSE VAN RENSBURG,RSA,1t2z 3 11,,
69,JOAQUIN,URRUTIA,CHI,1t2z 2 9,,
71,MINSUNG,HAN,KOR,1t2z 3 2,,
71,MYKHAYIL,TKACHUK,UKR,1t2z 4 3,,
73,ARDCH,INTRACHUPONGSE,THA,1t2z 4 4,,
73,ROMAN,SIVAKOV,LTU,1t2z 3 3,,
75,BENJAMIN,AYALA,CHI,1t2z 5 6,,
75,REZA,KOLASANGIAN,IRI,1t1z 3 1,,
75,PUTRA,TRI RAMADANI,INA,1t1z 3 1,,
78,VICTOR,BAUDRAND,CAN,1t2z 7 8,,
79,CAMPBELL,HARRISON,AUS,0t4z 0 10,,
79,GIORGIO,TOMATIS,ITA,1t1z 2 2,,
81,ALBIN,MEYER,SWE,0t3z 0 8,,
81,FREDRIK,SERLACHIUS,SWE,0t3z 0 8,,
81,ROMAN,VASKO,UKR,1t1z 4 2,,
81,AIDEN,YANEV,AUS,0t3z 0 8,,
85,ALEXEY,PANFILOV,KAZ,1t1z 6 3,,
86,NIKOLAY,RUSEV,BUL,0t3z 0 5,,
86,MARTIN,STRANIK,CZE,0t3z 0 5,,
88,GUÐMUNDUR FREYR,ARNARSON,ISL,0t3z 0 9,,
88,BENJAMIN,VARGAS,CHI,0t3z 0 9,,
90,RAM,LEVIN,ISR,0t3z 0 13,,
91,LAUTARO NICOLÁS,SORIA SANCHEZ,ARG,0t2z 0 5,,
91,ALEJO,SUTER,ARG,0t3z 0 13,,
93,GABRIEL,KERN,SWE,0t2z 0 7,,
93,FREDERIK,VIBERG CHRISTIANSEN,DEN,0t3z 0 17,,
93,THOR,VILLEGAS GARCÍA,MEX,0t2z 0 7,,
96,LUKE,GOH WEN BIN,SGP,0t2z 0 3,,
96,LEÓN,PINO,CHI,0t2z 0 3,,
98,BAUTISTA,GREGORINI,ARG,0t2z 0 10,,
99,DOHYEON,KIM,KOR,0t2z 0 4,,
99,AXEL,LINDFORS,FIN,0t2z 0 4,,
99,CIARÁN,SCANLON,IRL,0t2z 0 4,,
99,MARK,SCANLON,IRL,0t2z 0 11,,
103,LUIS,CASTELLANOS,VEN,0t2z 0 16,,
104,TULIO,OBREGON,ECU,0t1z 0 1,,
105,MUHAMMAD FERZA FERNADA,ABDI,INA,0t1z 0 2,,
105,MOHAMMADAMIN,YAZDIZAD,IRI,0t2z 0 5,,
107,BOYAN,KIROV,BUL,0t1z 0 4,,
107,ANTON YOUNG HONG,NIELSEN,DEN,0t2z 0 6,,
107,VIKTOR,TRPOVSKI,MKD,0t2z 0 6,,
107,DIEGO ERNESTO,VÁZQUEZ,MEX,0t2z 0 6,,
111,MUHAMMAD,RIZKY SYAHRAFLI SIMATUPANG,INA,0t1z 0 5,,
112,GIANSTEFANO,DI NINO,VEN,0t1z 0 6,,
112,EMILIO,FLORES,GUA,0t1z 0 6,,
114,TEERAPHON,BOONDECH,THA,0t2z 0 7,,
115,HOSSEIN,FAMILROHANI,IRI,0t1z 0 7,,
115,LOVRE,ČULIĆ,CRO,0t2z 0 10,,
117,ARTYOM,DEVYATERIKOV,KAZ,0t2z 0 21,,
117,AZAT,MAIKOTOV,KAZ,0t1z 0 9,,
117,JAIR OCTAVIO,MORENO MONTOYA,MEX,0t1z 0 9,,
120,SIGRID,BIM,INA,0t1z 0 1,,
121,SANTIAGO,DE ALBA FLORES,MEX,0t1z 0 2,,
121,KENU,PUERTA WONG,PER,0t1z 0 11,,
123,JOVAN,IVANOV,MKD,0t0z 0 0,,
123,MATEJ,MARKOV,MKD,0t0z 0 0,,
123,MATEUS,RODRIGUES BELLOTTO,BRA,0t1z 0 3,,
123,EMILIANO,TORRIJO,CHI,0t0z 0 0,,
127,MUSAUWIR,MUSAUWIR,INA,0t1z 0 4,,
127,BIRGIR ÓLI,SNORRASON,ISL,0t1z 0 4,,
129,HRITIK,MARNE,IND,0t0z 0 0,,
129,KEIT,NURGA,EST,0t0z 0 0,,
,RADIN,FOROUGHIAN,IRI,dns,,
,TIES,VANCRAEYNEST,BEL,dns,,
