Rank,Name,,Country,Qualification,Semi-final,Final,event_name,date,gender
1,COLIN,DUFFY,USA,2.83,43,38+,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
2,AO,YURIKUSA,JPN,3.74,45+,37+ (3:14),Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
3,JESSE,GRUPPER,USA,5.66,45+,37+ (4:28),Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
4,LUKA,POTOCAR,SLO,4.3,41+,37,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
5,JAKOB,SCHUBERT,AUT,2.0,41+,36+,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
6,SATONE,YOSHIDA,JPN,10.28,38+,36+,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
7,YANNICK,FLOHÉ,GER,3.24,41+,31,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
8,ALEXANDER,MEGOS,GER,2.0,38+,28+,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
9,TAISEI,HOMMA,JPN,5.29,40,21+,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
10,SASCHA,LEHMANN,SUI,9.75,38,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
11,SEAN,BAILEY,USA,4.5,37+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
12,YOSHIYUKI,OGATA,JPN,4.69,36+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
13,SEBASTIAN,HALENKE,GER,12.49,33+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
13,GIOVANNI,PLACCI,ITA,8.72,33+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
13,MEJDI,SCHALCK,FRA,11.0,33+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
13,STEFAN,SCHERZ,AUT,12.83,33+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
13,MARTIN,STRANIK,CZE,14.94,33+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
18,STEFANO,GHISOLFI,ITA,5.66,33,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
18,DOMEN,SKOFIC,SLO,13.06,33,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
20,FILIP,SCHENK,ITA,6.54,31,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
21,NIMROD,MARCUS,ISR,14.94,29+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
22,MIKEL ASIER,LINACISORO MOLINA,ESP,11.62,29,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
23,DIMITRI,VOGT,SUI,6.93,26+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
24,ROMARIC,GEFFROY,FRA,6.18,24+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
25,HAMISH,MCARTHUR,GBR,7.75,13+,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
26,HANNES,PUMAN,SWE,6.87,13,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
27,KOKORO,FUJII,JPN,13.73,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
27,MILAN,PRESKAR,SLO,15.31,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
29,VICTOR,BAUDRAND,CAN,15.43,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
29,SUNGSU,LEE,KOR,16.97,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
31,MARCELLO,BOMBARDI,ITA,17.81,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
31,NICOLAS,COLLIN,BEL,17.0,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
31,MASAHIRO,HIGUCHI,JPN,17.81,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
34,MATHIAS,POSCH,AUT,17.03,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
35,ANTHONY,GULLSTEN,FIN,17.85,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
35,MAXIMILLIAN,MILNE,GBR,19.37,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
37,OSCAR,BAUDRAND,CAN,19.44,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
37,JONGWON,CHON,KOR,19.39,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
37,JAN-LUCA,POSCH,AUT,19.39,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
40,JONAS,UTELLI,SUI,19.79,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
41,SIMON,LORENZI,BEL,20.71,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
41,JULIAN,WIMMER,AUT,20.85,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
43,CAMPBELL,HARRISON,AUS,22.95,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
43,DOHYUN,LEE,KOR,21.77,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
45,CHEUNG-CHI SHOJI,CHAN,HKG,22.99,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
45,LUCAS,DUFROS,FRA,22.99,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
45,LOUIS,GUNDOLF,AUT,24.27,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
45,WILLIAM,RIDAL,GBR,22.99,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
49,GEORG,PARMA,AUT,24.97,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
50,NICOLAI,UZNIK,AUT,26.66,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
51,DIEGO,FOURBET,FRA,25.65,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
51,YUFEI,PAN,CHN,27.56,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
51,JAMES,POPE,GBR,25.65,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
51,FREDRIK,SERLACHIUS,SWE,25.65,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
55,RAM,LEVIN,ISR,28.43,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
56,TIMO,UZNIK,AUT,28.86,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
57,LEO KETIL,BØE,NOR,28.93,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
57,SLAV,KIROV,BUL,28.06,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
59,MARTIN,BERGANT,SLO,29.81,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
59,ALEX,KHAZANOV,ISR,29.7,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
59,HANNES,VAN DUYSEN,BEL,29.81,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
62,NIKOLAY,RUSEV,BUL,30.5,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
63,ILLIA,BAKHMET-SMOLENSKYI,UKR,30.08,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
63,LETO,CAVÉ,NED,30.08,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
63,BENJAMIN,HAIDACHER,AUT,30.08,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
63,MICHAEL,O'NEILL,IRL,30.08,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
63,GERGŐ,VÁLYI,HUN,31.11,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
63,CHRISTIAN,WAGNER,CHI,30.08,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
69,HUGO,PARMENTIER,FRA,31.3,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
69,FEDIR,SAMOILOV,UKR,31.3,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
71,JOE,GOODACRE,USA,34.82,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
72,SHINYEONG,YUN,KOR,35.21,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
73,CHI-FUNG,AU,HKG,33.06,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
73,FELIPE,HO FOGANHOLO,BRA,33.06,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
73,THILO JELDRIK,SCHRÖTER,NOR,35.94,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
76,ROSS,FULKERSON,USA,36.33,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
77,YONGCHEN,CHEN,CHN,33.26,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
77,ATTILA ZSOMBOR,RADICS,HUN,36.71,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
79,ENEKO,CARRETERO CRUZ,ESP,39.76,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
79,NIMRÓD SEBESTYÉN,TUSNÁDY,HUN,34.45,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
81,BENJAMIN,HANNA,USA,41.95,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
81,AXEL,LINDFORS,FIN,39.0,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
81,KINDAR,MCNAMEE,CAN,41.95,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
84,GUY,MCNAMEE,CAN,39.17,,,Innsbruck_(AUT)_2022,22 June - 26 June 2022,Men
